,artist,album,track_name,track_id,release_date,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Coldplay,Viva La Vida or Death and All His Friends,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,3.23e-06,0.109,0.417,138.015,242373,4
1,Rihanna,Good Girl Gone Bad,Umbrella,2yPoXCs7BSIUrucMdK5PzV,2007-01-01,0.583,0.829,1,-4.603,1,0.134,0.0,0.0426,0.575,174.028,275987,4
2,*NSYNC,No Strings Attached,Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,2000-03-21,0.61,0.926,8,-4.843,0,0.0479,0.0012,0.0821,0.861,172.638,200400,4
3,Train,"Save Me, San Francisco (Golden Gate Edition)","Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,2010-12-01,0.673,0.886,1,-4.44,0,0.0431,0.0,0.0826,0.795,97.012,216773,4
4,Carrie Underwood,Some Hearts,Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,2005-11-14,0.519,0.749,6,-3.318,0,0.0405,0.0,0.119,0.29,147.905,199947,4
5,Fall Out Boy,From Under The Cork Tree,"Sugar, We're Goin Down",2TfSHkHiFO4gRztVIkggkE,2005-05-03,0.494,0.842,7,-4.784,1,0.0843,0.0,0.122,0.574,162.011,229093,4
6,Panic! At The Disco,A Fever You Can't Sweat Out,I Write Sins Not Tragedies,4bPQs0PHn4xbipzdPfn6du,2005-09-27,0.569,0.83,9,-4.106,0,0.14,0.0,0.114,0.609,170.094,186635,4
7,Bon Jovi,Slippery When Wet,Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,1986-08-16,0.532,0.887,0,-3.757,1,0.0335,0.000214,0.294,0.795,122.511,249293,4
8,Foster The People,Torches,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,2011-05-23,0.733,0.71,5,-5.849,0,0.0292,0.115,0.0956,0.965,127.975,239600,4
9,The Goo Goo Dolls,Dizzy up the Girl,Iris,6Qyc6fS4DsZjB2mRW9DsQs,1998-09-11,0.315,0.715,11,-8.072,0,0.0362,7.97e-06,0.0942,0.497,155.925,289533,3
10,Journey,Escape (Bonus Track Version),Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue,1981,0.5,0.748,4,-9.072,1,0.0363,0.0,0.447,0.514,118.852,250987,4
11,Paramore,Riot!,Misery Business,6SpLc7EXZIPpy0sVko0aoU,2007-06-11,0.517,0.906,1,-3.677,1,0.0735,9.26e-06,0.113,0.731,172.977,211520,4
