,artist,album,track_name,track_id,release_date,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Miley Cyrus,The Time Of Our Lives,Party In The U.S.A.,5Q0Nhxo0l2bP3pNjpGJwV1,2009-01-01,0.652,0.698,10,-4.667,0,0.042,0.000115,0.0886,0.47,96.021,202067,4
1,Rihanna,Loud,What's My Name?,5FTCKvxzqy72ceS4Ujux4N,2010-11-16,0.692,0.786,2,-2.959,1,0.069,0.0,0.0797,0.583,100.025,263173,4
2,Train,"Hey, Soul Sister","Hey, Soul Sister",0KpfYajJVVGgQ32Dby7e9i,2009-08-06,0.675,0.885,1,-4.432,0,0.0436,0.0,0.086,0.768,97.03,216667,4
3,Justin Bieber,My World,One Time,6eDApnV9Jdb1nYahOlbbUh,2009-01-01,0.691,0.853,1,-2.528,0,0.0372,7.13e-05,0.082,0.762,145.999,215867,4
4,Taio Cruz,Rokstarr (International Version),Dynamite,0bg6otrW5gxNnlCqrCrXyd,2010-05-28,0.754,0.804,4,-3.177,1,0.0853,0.0,0.0329,0.818,119.968,203867,4
5,Miley Cyrus,The Time Of Our Lives (International Version),The Climb,5x5JM1BSB6vollcIzDocqT,2009-01-01,0.336,0.602,4,-6.354,1,0.0325,0.0,0.141,0.299,161.01,234520,4
6,Katy Perry,One Of The Boys,Hot N Cold,0iGckQFyv6svOfAbAY9aWJ,2008-06-17,0.706,0.841,7,-3.956,1,0.0418,0.0,0.0688,0.861,132.032,220227,4
7,Christina Perri,Jar Of Hearts,Jar Of Hearts,1QO5Hxv3JmP27MTBg8lQ9p,2010-06-11,0.39,0.359,3,-5.441,1,0.0305,0.0,0.103,0.0948,74.857,247002,4
8,Lady Gaga,The Fame,Poker Face,1QV6tiMFM6fSOKOGLMHYYg,2008-01-01,0.851,0.806,4,-4.62,1,0.0787,1.64e-06,0.121,0.787,118.999,237200,4
9,B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Airplanes (feat. Hayley Williams of Paramore),6lV2MSQmRIkycDScNtrBXO,2010-04-27,0.66,0.867,6,-4.285,0,0.116,0.0,0.0368,0.377,93.033,180480,4
10,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,2008-05-12,0.703,0.444,11,-9.331,1,0.0417,0.0,0.0973,0.712,150.96,242947,4
11,Katy Perry,Teenage Dream: The Complete Confection,Firework,4lCv7b86sLynZbXhfScfm2,2012-03-12,0.638,0.826,8,-4.968,1,0.0479,0.0,0.0803,0.649,124.072,227880,4
12,Jason Derulo,It Girl,It Girl,2giHiZTf7a3UKkYvENgavP,2011-08-09,0.668,0.718,1,-4.736,0,0.0605,0.0,0.104,0.345,91.993,192200,4
13,Katy Perry,California Gurls (feat. Snoop Dogg),California Gurls - feat. Snoop Dogg,0uslfroVWg7qGWhdduwC0K,2010,0.791,0.76,0,-3.785,1,0.0503,0.0,0.127,0.444,125.04,236253,4
14,Katy Perry,Teenage Dream: The Complete Confection,Teenage Dream,55qBw1900pZKfXJ6Q9A2Lc,2012-03-12,0.719,0.804,10,-4.581,1,0.0355,3.02e-06,0.139,0.605,119.999,227760,4
15,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),I Gotta Feeling,4vp2J1l5RD4gMZwGFLfRAu,2009-01-01,0.743,0.766,0,-6.375,1,0.0265,0.0,0.509,0.61,127.96,289133,4
16,Far East Movement,Free Wired,Like A G6,4DvhkX2ic4zWkQeWMwQ2qf,2010-01-01,0.435,0.837,3,-8.126,1,0.449,0.0,0.117,0.778,124.913,216893,4
17,Nicki Minaj,Pink Friday,Super Bass,7gKIt3rDGIMJDFVSPBnGmj,2010-01-01,0.721,0.867,11,-4.302,1,0.196,2.87e-06,0.503,0.639,127.033,200013,4
18,The Band Perry,The Band Perry,If I Die Young,4u26EevCNXMhlvE1xFBJwX,2010-01-01,0.606,0.497,4,-6.611,1,0.0277,0.0,0.275,0.362,130.739,222773,4
19,Rihanna,Only Girl (In The World),Only Girl (In The World),3YJlTDtUXu1sGh8lunblkG,2010-09-10,0.768,0.738,11,-3.017,0,0.0406,3.01e-05,0.0561,0.685,125.928,235853,4
20,Jessie J,Price Tag,Price Tag,7nqlRkgNyEpb9nvb03GMp7,2011-01-01,0.447,0.839,5,-3.948,1,0.254,1.76e-06,0.189,0.677,174.959,221240,4
21,fun.,Some Nights,We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,2012-02-21,0.378,0.638,10,-5.576,1,0.075,7.66e-05,0.0849,0.735,184.086,250627,4
22,Maroon 5,Payphone,Payphone,0iyEaciAmtiv8xMkBg97Fy,2012-01-01,0.745,0.756,4,-4.749,1,0.0429,0.0,0.356,0.495,109.999,231467,4
23,Katy Perry,Teenage Dream,Last Friday Night (T.G.I.F.),3oHNJECGN3bBoGXejlw2b1,2010-08-24,0.652,0.812,3,-3.797,0,0.0409,3.01e-05,0.667,0.72,126.023,230733,4
24,Selena Gomez & The Scene,Who Says,Who Says,7LJommP4aYbHwe6zPzpLyi,2011-01-01,0.709,0.907,4,-4.844,1,0.0386,0.0,0.221,0.769,101.004,195200,4
25,Adele,Rolling In The Deep,Rolling in the Deep,5xPazRvyrkVootu8pM9vUG,2010-11-30,0.73,0.77,8,-5.114,1,0.0298,0.0,0.0473,0.507,104.948,228093,4
26,Soulja Boy,Crank That (Soulja Boy),Crank That (Soulja Boy),4iNkk2qPPXC1MAZdVUq810,2007-01-01,0.74,0.722,0,-2.149,1,0.0791,0.0,0.074,0.841,140.139,222653,4
27,Maroon 5,Hands All Over,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",7LcfRTgAVTs5pQGEQgUEzN,2010,0.722,0.758,11,-4.477,0,0.0471,0.0,0.308,0.62,128.047,201160,4
28,Jason Mraz,I Won't Give Up,I Won't Give Up,05pKAafT85jeeNhZ6kq7HT,2012-01-03,0.585,0.303,4,-10.058,1,0.0398,0.0,0.115,0.142,136.703,240166,3
29,Selena Gomez,Come & Get It,Come & Get It,7Gkphzdh5ouurEt7JT49Yu,2013-01-01,0.548,0.788,7,-4.115,0,0.0495,0.000167,0.0966,0.576,80.047,231733,4
30,P!nk,The Truth About Love,Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,2012-09-18,0.778,0.547,2,-7.273,1,0.0489,0.000302,0.132,0.441,95.002,242733,4
31,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),Thrift Shop (feat. Wanz),1CmUZGtH29Kx36C1Hleqlz,2012-08-01,0.781,0.526,6,-6.985,0,0.293,0.0,0.0457,0.662,94.992,235613,4
32,Katy Perry,PRISM (Deluxe),Roar,3bDGwl0X3EjQmIyFD1uif5,2013-01-01,0.56,0.756,7,-4.817,0,0.0415,1.29e-05,0.55,0.404,179.771,223546,4
33,OneRepublic,Native (Deluxe),Counting Stars,519uJbE3zyKLlToVA65PrP,2013-01-01,0.665,0.7,1,-4.946,0,0.042,0.0,0.119,0.473,121.961,257267,4
34,One Direction,Midnight Memories (Deluxe),Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,2013-11-25,0.6,0.663,3,-5.802,1,0.0477,0.0,0.119,0.286,121.07,245493,4
35,Ed Sheeran,The A Team,The A Team,2vBF8A6n0REigm7RSUM65S,2011-05-01,0.626,0.286,9,-9.933,1,0.0374,0.0,0.134,0.366,84.954,258588,4
36,Rihanna,We Found Love,We Found Love,1bLG2x4ePXBr6TXFBOmXRk,2011-01-01,0.744,0.741,1,-4.981,1,0.0572,0.00256,0.0928,0.562,128.023,215760,4
37,Katy Perry,PRISM (Deluxe),Unconditionally,4fwbGKNExPtPHbor1TBSY4,2013-10-18,0.397,0.725,7,-4.862,1,0.043,0.0,0.208,0.358,128.861,228879,4
38,Katy Perry,Teenage Dream: The Complete Confection,Wide Awake,5JLv62qFIS1DR3zGEcApRt,2012-03-12,0.514,0.683,5,-5.099,1,0.0367,2.64e-06,0.392,0.575,159.814,220947,4
39,Katy Perry,Teenage Dream: The Complete Confection,Part Of Me,1nZzRJbFvCEct3uzu04ZoL,2012-03-12,0.678,0.918,5,-4.63,1,0.0355,0.0,0.0744,0.769,130.028,216160,4
40,Tove Lo,Habits (Stay High),Habits (Stay High),70AoHzwXbJBdz3DZ5fSDfY,2014-03-03,0.691,0.712,5,-3.421,1,0.0327,2.73e-05,0.0896,0.421,110.007,208000,4
41,Fall Out Boy,Centuries,Centuries,1N1JEeVv5TO2wQpk7vGVLs,2014-09-09,0.346,0.844,9,-3.164,0,0.0857,0.0,0.113,0.401,175.997,231813,4
42,Vance Joy,God Loves You When You're Dancing,Riptide,423RKXolCbgBbkF8WanOwA,2013-09-03,0.484,0.731,1,-6.694,1,0.0379,0.0,0.151,0.51,101.654,204280,4
43,Fetty Wap,Fetty Wap (Deluxe),Trap Queen,2d8JP84HNLKhmd6IYOoupQ,2015-09-25,0.746,0.873,7,-3.803,1,0.128,0.0,0.354,0.817,148.075,222093,4
44,Ed Sheeran,x (Deluxe Edition),Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,2014-06-21,0.781,0.445,2,-6.061,1,0.0295,0.0,0.184,0.591,78.998,281560,4
45,OneRepublic,Feel Again,Feel Again,6nmVeODcBpsGKx5RPv003D,2012-01-01,0.474,0.818,7,-7.513,0,0.0541,3.56e-06,0.105,0.353,139.933,185613,4
46,Selena Gomez,For You EP,The Heart Wants What It Wants,5f98TzvnLY1wy3ZgHKQSJN,2015-01-01,0.616,0.789,7,-4.874,0,0.0377,0.0,0.142,0.621,83.066,227360,4
47,Selena Gomez,Stars Dance (Bonus Track Version),Slow Down,2OsEJFTfzfjG4oC92cuP2c,2013-01-01,0.722,0.821,1,-3.856,0,0.165,0.0,0.631,0.721,127.944,210293,4
48,Selena Gomez,Stars Dance (Bonus Track Version),Birthday,345HZXxfL8S8HkVzytD1Pw,2013-01-01,0.642,0.839,1,-2.7,0,0.0455,0.0,0.534,0.419,106.969,200640,4
49,Selena Gomez,Stars Dance (Bonus Track Version),Like A Champion,6vftvAdsEAAJTGQrUmHnei,2013-01-01,0.705,0.903,9,-4.091,0,0.118,0.0,0.185,0.935,90.001,175760,4
50,Selena Gomez,For You,Love You Like A Love Song,7lAoovVf67mECK18oOpJbc,2014-11-21,0.858,0.677,1,-3.842,0,0.047,0.0,0.0757,0.922,117.011,188453,4
51,Selena Gomez,For You,Who Says,6dn9ndETOjczUSQO5UhKJa,2014-11-21,0.676,0.923,4,-2.849,1,0.0508,0.0,0.147,0.725,101.025,195267,4
52,Selena Gomez,For You,Round & Round,1Tfix64VDRzgF4jLApxgsy,2014-11-21,0.526,0.703,0,-4.086,1,0.0772,0.0,0.648,0.511,127.939,185880,4
53,Hannah Montana,Hannah Montana 2 / Meet Miley Cyrus,Nobody's Perfect - From “Hannah Montana 2”,1GBknQ67DCfKTPms1dw9EW,2007-01-01,0.594,0.977,8,-4.193,1,0.0646,3.49e-06,0.309,0.793,131.976,200827,4
54,Various Artists,Hannah Montana The Movie,Hoedown Throwdown,6ntkwU1MhehTKgx4BWxX3f,2009-01-01,0.738,0.804,10,-6.018,0,0.0608,0.0,0.297,0.791,109.045,181013,4
55,Lemonade Mouth,Lemonade Mouth,"Determinate - From ""Lemonade Mouth""",4qEoqyPbLYnLOii6mKlIjI,2011-01-01,0.562,0.768,1,-5.006,0,0.0488,0.0,0.0742,0.218,139.968,198107,4
56,Lemonade Mouth,Lemonade Mouth,Turn Up the Music,4bb2UdCvi9LynD4rWvE06T,2011-01-01,0.531,0.827,7,-3.7,1,0.081,1.84e-06,0.074,0.801,183.977,176600,4
57,Lemonade Mouth,Lemonade Mouth,Somebody,0KXvGydCYbBgHUlqrDbz3N,2011-01-01,0.459,0.734,6,-4.587,1,0.0374,0.0,0.0743,0.289,164.583,208867,4
58,Lemonade Mouth,Lemonade Mouth,And the Crowd Goes,6Pc3MYTmPPppZWgwYeC7iM,2011-01-01,0.433,0.908,11,-3.019,1,0.0605,0.0,0.287,0.697,180.174,167867,4
59,Lemonade Mouth,Lemonade Mouth,She's So Gone,4DTrKnvkHtwQN6kBu4XXIF,2011-01-01,0.518,0.861,11,-4.002,1,0.0673,1.42e-06,0.249,0.457,141.986,186453,4
60,Lemonade Mouth,Lemonade Mouth,More Than a Band,5795tkQ1pTLZ2D3jctqhdQ,2011-01-01,0.458,0.41,2,-6.321,1,0.0254,0.0,0.262,0.374,155.844,160307,3
61,Lemonade Mouth,Lemonade Mouth,Don't Ya Wish U Were Us?,4gOBYkyz05KP7bKauYuepf,2011-01-01,0.692,0.926,0,-3.376,0,0.0917,0.0,0.08,0.498,99.635,199627,4
62,Lemonade Mouth,Lemonade Mouth,Breakthrough,7eAWmk6IDva2iA0q2Wx9Lv,2011-01-01,0.638,0.875,1,-4.123,1,0.0344,0.0,0.0667,0.698,111.999,207280,4
63,Various Artists,Hannah Montana The Movie,The Climb,0V8FYVlBFuXXTIvRnMbZyS,2009-01-01,0.327,0.588,4,-6.611,1,0.0336,0.0,0.104,0.329,161.074,236067,4
64,Various Artists,Camp Rock,This Is Me,5pomCBdsTZSDCFHH8BAUQe,2008-01-01,0.421,0.821,1,-2.783,1,0.0372,0.0,0.1,0.594,91.245,189173,4
65,Various Artists,Wizards of Waverly Place,Everything Is Not As It Seems - Series Theme Song,5U4wYRHrCRxRP6iQfM824C,2009-01-01,0.796,0.766,5,-5.937,0,0.0919,0.0,0.0946,0.921,124.896,50613,4
66,Cast Of 'Camp Rock 2',Camp Rock 2: The Final Jam,"Introducing Me - From ""Camp Rock 2: The Final Jam""",74tQaH4CxM5Rs9BzerEbHr,2010-01-01,0.513,0.496,11,-6.049,1,0.0511,0.0,0.106,0.676,113.072,186893,4
67,Cast Of 'Camp Rock 2',Camp Rock 2: The Final Jam,"Can't Back Down - From ""Camp Rock 2: The Final Jam""",51NrdlQOSTeq0d6U7xRKsz,2010-01-01,0.637,0.849,8,-4.348,1,0.0957,0.0,0.0847,0.699,120.052,199933,4
68,Selena Gomez & The Scene,A Year Without Rain,Round & Round,5RhxBpoCwX2vLBcSJzYa5j,2010-01-01,0.545,0.686,10,-4.081,1,0.0665,0.0,0.477,0.486,127.996,186493,4
69,Rihanna,Unapologetic (Deluxe),Diamonds,4JQSMg83F8qYwSBt5xOXsQ,2012-12-10,0.564,0.71,11,-4.92,0,0.0461,0.0,0.109,0.393,91.972,225147,4
70,Demi Lovato,Demi,Heart Attack,1V6gIisPpYqgFeWbMLI0bA,2013-01-01,0.504,0.785,8,-4.802,1,0.104,0.0,0.239,0.502,173.968,210840,4
71,Nicki Minaj,Pink Friday ... Roman Reloaded,Starships,1oHNvJVbFkexQc0BpQp7Y4,2011-01-01,0.747,0.716,11,-2.457,0,0.075,0.0,0.251,0.751,125.008,210627,4
72,Ariana Grande,Yours Truly,The Way,06EL94D0TA27Ik0Ke5usbj,2013-01-01,0.645,0.877,5,-3.208,0,0.113,0.0,0.0759,0.861,82.324,227027,4
73,Miley Cyrus,Bangerz (Deluxe Version),Wrecking Ball,2vwlzO0Qp8kfEtzTsCXfyE,2013-10-04,0.53,0.422,5,-6.262,1,0.0342,0.0,0.107,0.349,119.964,221360,4
74,Hannah Montana,Hannah Montana 3,He Could Be the One,07HPV6hzecJmMJwsIX8YVU,2009-01-01,0.602,0.894,4,-3.975,1,0.032,0.0,0.433,0.643,125.988,180800,4
75,Various Artists,Wizards of Waverly Place,Magic,10xcIQQEJSEIOgG1HvS3t9,2009-01-01,0.6,0.916,11,-3.071,0,0.0374,0.0,0.27,0.442,104.091,169640,4
76,Various Artists,Hannah Montana The Movie,Butterfly Fly Away,2ZTCl6wQMDSMfY4s8GHZdj,2009-01-01,0.607,0.281,11,-12.632,1,0.0258,0.000123,0.29,0.468,134.977,189240,4
77,Bella Thorne,"TTYLXOX (From ""Shake It Up: Live 2 Dance"")",TTYLXOX,1nIDYHvLaZnD5lEf66SH80,2012-01-01,0.819,0.683,7,-6.144,1,0.156,0.122,0.254,0.671,112.007,154773,4
78,Selena Gomez & The Scene,Kiss & Tell,Naturally,1YaVmBh7EAeR54FIjuFcb5,2009-01-01,0.605,0.902,10,-5.406,0,0.0511,1.01e-06,0.0534,0.875,132.612,202587,4
79,Justin Bieber,My World,One Less Lonely Girl,69ghzc538EQSVon2Gm3wrr,2009-01-01,0.58,0.75,4,-4.421,1,0.194,0.0,0.274,0.728,86.938,229107,4
80,Zendaya,"Something to Dance For (From ""Shake It Up: Live 2 Dance"")",Something To Dance For,0WcBvAA59kSYFHeqy0fpZp,2012-01-01,0.67,0.939,1,-5.579,0,0.0647,3.18e-05,0.316,0.441,129.997,163267,4
81,Selena Gomez,Tell Me Something I Don't Know,Tell Me Something I Don't Know,08kCck8nAJJEmxg0gXaJot,2008-08-05,0.601,0.939,7,-3.696,0,0.113,0.0,0.118,0.688,144.981,201427,4
82,Bridgit Mendler,Hello My Name Is...,Hurricane,7gQ5c5HY6zMsIck6QLY9dJ,2012-01-01,0.757,0.825,7,-4.062,0,0.0701,2.63e-06,0.0798,0.446,95.01,243987,4
83,Cast of Shake It Up: Live 2 Dance,Shake It Up: Live 2 Dance (Deluxe Edition),Something To Dance For / TTYLXOX Mash-Up,1EZGDhT5ZobdPNYVS7W1oe,2012-03-20,0.521,0.879,1,-5.777,0,0.224,0.0025,0.255,0.529,112.051,164133,4
